"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-05","10.51",,"0.45",,"0.0","0.0","71","79","63",,"  290","  350",,"19.9","28.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-06","8.05",,"0.00",,"0.0","0.0","70","77","60",,"  320","  320",,"18.1","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-07","6.26",,"0.00",,"0.0","0.0","72","84","62",,"  350","  360",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-08","6.49",,"0.00",,"0.0","0.0","74","84","64",,"  160","  210",,"15.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-09","4.70",,"0.32",,"0.0","0.0","73","82","67",,"  150","   50",,"12.1","16.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-10","5.82",,"2.59",,"0.0","0.0","75","86","70",,"   70","   50",,"17.0","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-11","10.29",,"0.06",,"0.0","0.0","69","72","63",,"   80","   80",,"19.9","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-12","6.93",,"0.26",,"0.0","0.0","67","75","63",,"   80","   80",,"16.1","19.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-13","6.93",,"0.53",,"0.0","0.0","74","86","70",,"  230","  240",,"30.0","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-14","12.30",,"0.00",,"0.0","0.0","72","76","63",,"  300","  310",,"23.9","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-15","7.38",,"0.00",,"0.0","0.0","69","83","58",,"  310","  290",,"13.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-16","4.47",,"0.00",,"0.0","0.0","77","88","62",,"  200","  200",,"16.1","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-17","8.28",,"0.00",,"0.0","0.0","81","93","71",,"  270","  190",,"16.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-18","12.30",,"0.00",,"0.0","0.0","86","94","78",,"  320","  320",,"25.1","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-19","7.61",,"0.53",,"0.0","0.0","78","81","70",,"  260","  260",,"31.1","36.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-20","7.16",,"0.00",,"0.0","0.0","73","82","63",,"   20","   10",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-21","6.93",,"0.00",,"0.0","0.0","74","79","68",,"  230","   20",,"13.0","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-22","3.80",,"0.00",,"0.0","0.0","72","83","65",,"  120","  120",,"15.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-23","6.26",,"0.00",,"0.0","0.0","73","83","63",,"  220","  180",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-24","8.95",,"0.00",,"0.0","0.0","76","86","65",,"  190","  200",,"16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-25","8.05",,"0.64",,"0.0","0.0","79","90","71",,"  310","  310",,"21.0","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-26","9.84",,"0.07",,"0.0","0.0","79","87","71",,"  310","  350",,"18.1","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-27","7.16",,"0.00",,"0.0","0.0","78","84","69",,"   80","   70",,"15.0","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-28","4.03",,"0.00",,"0.0","0.0","76","87","66",,"  180","  180",,"16.1","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-29","5.82",,"0.00",,"0.0","0.0","76","86","65",,"  190","  200",,"15.0","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-06-30","7.16",,"0.00",,"0.0","0.0","76","88","68",,"  240","  240",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-01","10.96",,"0.00",,"0.0","0.0","81","93","72",,"  220","  200",,"21.0","30.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-02","9.62",,"0.21",,"0.0","0.0","85","96","75",,"  330","  330",,"29.1","35.1",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-03","8.05",,"0.09",,"0.0","0.0","81","92","74",,"  270","  240",,"40.0","53.9",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-04","14.76",,"0.04",,"0.0","0.0","74","78","68",,"  330","  320",,"28.0","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-05","11.41",,"0.00",,"0.0","0.0","73","83","64",,"  350","  340",,"19.9","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-06","10.74",,"0.00",,"0.0","0.0","76","86","64",,"  220","  190",,"21.0","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-07","14.54",,"0.00",,"0.0","0.0","82","93","74",,"  210","  230",,"25.1","36.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-08","13.20",,"0.17",,"0.0","0.0","85","95","72",,"  260","  240",,"48.1","59.1",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-09","9.84",,"0.00",,"0.0","0.0","79","89","71",,"  220","  240",,"18.1","25.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-10","8.05",,"0.00",,"0.0","0.0","80","87","74",,"  130","   20",,"14.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-11","6.71",,"0.00",,"0.0","0.0","79","90","70",,"   40","   20",,"15.0","23.9",,,,,,,,
